x,y
0.0307023,0.00332757
0.0151549,0.0037457
0.0320099,0.000270834
0.0547675,0.0341946
0.0625866,0.0417659
0.0769208,0.0532775
0.0788578,0.0743575
0.0790943,0.0535991
0.0692104,0.0592194
0.0409114,0.036333
0.0355425,0.0454767
0.0986885,0.0969092
0.0729004,0.099715
0.112022,0.100761
0.113721,0.156262
0.130225,0.155349
0.179678,0.0958765
0.172321,0.100844
0.192065,0.229284
0.186267,0.20691
0.216773,0.143526
0.214782,0.15911
0.230329,0.34155
0.241349,0.339859
0.3024,0.124412
0.308673,0.134671
0.339509,0.439116
0.332858,0.442269
0.39493,0.0897238
0.400436,0.0937271
0.378063,0.514382
0.394749,0.529886
0.459853,0.64784
0.447798,0.634981
0.571283,0.0401237
0.563492,0.0423567
0.541612,0.0334602
0.553655,0.738052
0.554952,0.737516
0.648563,0.0432905
0.636031,0.0458155
0.62753,0.66469
0.633824,0.681331
0.678369,0.182518
0.6674,0.191372
0.745091,0.750105
0.732883,0.766971
0.806474,0.128155
0.811301,0.115167
0.815781,0.842586
0.813263,0.848501
0.923704,0.198401
0.922788,0.202627
0.909425,0.974161
0.906728,0.956838
0.978773,0.0496567
0.966996,0.063303
