x,y,Class
0.30555908675378207,0.6300167431254474,C2
0.30080904935543173,0.5956116799768593,C2
0.23334923014870038,0.6144983259152665,C2
0.31995850487474636,0.6297389306431425,C2
0.2715215296538022,0.6303821387405939,C2
0.28964839108904583,0.6036480105613358,C2
0.2659837016059837,0.6396837291285599,C2
0.3340622204337714,0.5990557251273465,C2
0.2796853068696331,0.6520012086569865,C2
0.2766220373647744,0.605053097371228,C2
0.32379597761456774,0.6377032785400535,C2
0.34381656758735485,0.6036573115187538,C2
0.30622969456245264,0.5902153135095666,C2
0.2736776536604928,0.6405256526001647,C2
0.36905252066406313,0.6191037228776617,C2
0.32215818725061984,0.627947078046532,C2
0.3535979768832955,0.5644433004408818,C2
0.3818930402607249,0.5563816479919949,C2
0.3897332418614474,0.6954196851387267,C2
0.40617292552085876,0.6108907969966052,C2
0.4374307852818773,0.6306398203663771,C2
0.413362394848119,0.6201997439050467,C2
0.41975364193431,0.5757402897367272,C2
0.4552459829737687,0.6263718566885776,C2
0.4893877427454523,0.6008268768793865,C2
0.46358195374165606,0.6634360868703205,C2
0.47314173272227383,0.5640335812686186,C2
0.5208458424765602,0.6197148040495964,C2
0.5029678540390708,0.6882995029275037,C2
0.4823177657603564,0.6555545124624295,C2
0.46516050726994274,0.6850120054641666,C2
0.5076003823750205,0.6232424910889919,C2
0.5224347011283658,0.6695367448728748,C2
0.5350822331059589,0.5831032915582866,C2
0.5668086305034099,0.6152234169122722,C2
0.5068621737415115,0.6280839032276232,C2
0.6057374127377798,0.6953772120368024,C2
0.5934825836850844,0.6665863139710678,C2
0.6412564783581577,0.6341874480596986,C2
0.6653823263997597,0.6511779551172076,C2
0.6076184542826604,0.6393712016184308,C2
0.6306969968211823,0.6472246735037803,C2
0.6674467918406799,0.6389588534752288,C2
0.6709362479176467,0.6112576686852795,C2
0.6473210449020542,0.6869021864400239,C2
0.6843959823984658,0.6509969752481921,C2
0.714042313510005,0.6840066925748013,C2
0.6750126626263829,0.6865468535700874,C2
0.6787811247880863,0.6044766076982573,C2
0.6906610107938634,0.6096955369528239,C2
0.6837337425904702,0.6335237873055807,C2
0.7395035911942924,0.6323341701628957,C2
0.7767313275170519,0.5808428966714305,C2
0.7747881592723136,0.659108900783471,C2
0.7125643483609728,0.5781436300129436,C2
0.7271145706738729,0.6068955350828479,C2
0.7547923204827607,0.6259991591777114,C2
0.7923983299936704,0.5929376050861683,C2
0.7758519992975434,0.5207367046285634,C2
0.747849223494464,0.606798548872105,C2
0.7761711844070469,0.5631729475432422,C2
0.7957470843776656,0.5919913064310847,C2
0.813874248575583,0.5515457719064681,C2
0.7454434187895034,0.5982107944389449,C2
0.8594550528822057,0.4839085663226867,C2
0.7995125388706317,0.5207753699807238,C2
0.8808322561593404,0.48868352155878286,C2
0.874946500895852,0.5183753782693783,C2
0.8064022413013333,0.5127019120590292,C2
0.8715793690102098,0.4793281926957258,C2
0.8703548845266419,0.5043784848862657,C2
0.8267804655535642,0.4592550648606639,C2
0.8532203645974173,0.48279880825620175,C2
0.8629703063585199,0.5904719466311324,C2
0.8650112543882476,0.5084777701997418,C2
0.8202044350435977,0.5475804833765721,C2
0.8753289071784242,0.5368998701527326,C2
0.8500209425997484,0.5874341893990127,C2
0.847508231279619,0.5651783144645511,C2
0.7315713076926016,0.5884945535682615,C2
0.9127978873670298,0.6023174660402068,C2
0.8097170357809782,0.5592697122007599,C2
0.8951930559429454,0.558157976216787,C2
0.9071137201921274,0.5676413764549526,C2
0.8834507170477237,0.5901595816953711,C2
0.902658061294797,0.6866584220833544,C2
0.8841221822116467,0.5837167536657588,C2
0.9248074242439613,0.6071363057202934,C2
0.9177184128457194,0.6777848954366779,C2
0.8535909906475507,0.601201249568171,C2
