"twitter_id","twitter_created_at","tweet","corpus","user","agreement","votes","score","label","__split"
"1262775925831340033","2020-05-19 20:03:36","Hoy merendola deliciosa! Latte Macchiato Caramelo con Leche Condensada y Gofre! ???. #yomequedoencasa #todovaasalirbien #undiamenos #actitudpositiva #lattemacchiato #gofre #delicious #strong #stronger #smile…","Estado de alarma nacional (oficial)","Lorenhia","100","3","3","positive","val"
"1238776542270029824","2020-03-14 11:38:37","Muchos ánimos a todos los compañeros, profesionales sanitarios que hoy estamos trabajando en la contención y diagnóstico del SARS-COV-2.#CoronavirusESP #YoMeQuedoEnCasa #vacunas","Estado de alarma nacional (oficial)","VacunaJesusRuiz","100","2","2","positive","train"
"1238774281775067136","2020-03-14 11:29:38","Hay TANTAS cosas que se pueden hacer en casa: ver cine, series, leer libros, estudiar, dibujar, escribir, componer, organizar, limpiar, cocinar, jugar, un bañito, dormir, hablar por teléfono... no sé los demás pero yo en casa no me aburro nunca. #YoMeQuedoEnCasa #quedateEnTuCasa","Estado de alarma nacional (oficial)","jbautyoficial","100","2","2","positive","train"
"1238811338484469763","2020-03-14 13:56:53","#GabineteDeCrisisUtil #16 Escucha música! la que te gusta, pero también la que hace años que no escuchabas... te teletransportara, te hará recordar... y date una oportunidad para escuchar música diferente, nueva... disfrútala! #YoMeQuedoEnCasa #CoronaVirus","Estado de alarma nacional (oficial)","ton1pons","100","2","2","positive","train"
"1238917460625166336","2020-03-14 20:58:35","Increible el festival de musica gratuito que han organizado, sin palabras❤️ y ahora Soldadito de @NilMoliner ?? #YoMeQuedoEnCasa ??","Estado de alarma nacional (oficial)","Alexiat84","100","2","2","positive","train"
"1239080973582635008","2020-03-15 07:48:19","#BuenosDiasATodos . #YoMeQuedoEnCasa con mis dos bichoncitos,me hacen el día?? Seamos responsables . #FelizDomingo","Estado de alarma nacional (oficial)","PotterAdicta1","100","2","2","positive","train"
"1239097485215358977","2020-03-15 08:53:56","Gracias espero que hayas tenido buena guardia! ??#YoMeQuedoEnCasa #COVID19 #cirujanoscovid19 #coronavirusesp #aplanarlacurva","Estado de alarma nacional (oficial)","Notocorda","100","2","2","positive","test"
"1239159337857290240","2020-03-15 12:59:43","Segundo día de encierro.? Un vecino se arranca con un tema popular de la tierra, el resto castañuelas en mano le acompaña bailando en los balcones hasta romper en un aplauso con vítores . Esto es Palma... #aplausosanitario #yomequedoencasa #COVIDー19 #palmademallorca #baleares","Estado de alarma nacional (oficial)","FRAN__LARA","100","2","2","positive","val"
"1239337404722544640","2020-03-16 00:47:17","Bea me representas! #StayHome #YoMeQuedoEnMiCasa #YoMeQuedoEnCasa #COVIDー19","Estado de alarma nacional (oficial)","rodrigoncero","100","2","2","positive","test"
"1238811454440169474","2020-03-14 13:57:21","En situaciones excepcionales, medidas excepcionales. Es momento de ser responsables. #quédateencasa","Estado de alarma nacional (oficial)","alzamora_cf","100","2","2","positive","train"
"1239349825411469314","2020-03-16 01:36:39","Por favor. Toca ser responsables. Por ti, por mi, por nuestros abuelos, por nuestros familiares y conocidos que son factores de riesgo. Por todos. El sacrificio de hoy será la vitoria de mañana. #QuedateEnCasa. #StopCoronavirus. #SALDREMOSJUNTOS","Estado de alarma nacional (oficial)","Mirmirier","100","2","2","positive","train"
"1244915804174508033","2020-03-31 11:13:51","ANA, profesora de P6B @ceiprioarlanzon nos saluda y desea lo mejor para todas la comunidad educativa. Gracias ANA! Qué emoción. #YoMeQuedoEnCasa #TodoVaASalirBien ?#familiarlanzonera","Estado de alarma nacional (oficial)","ceiprioarlanzon","100","2","2","positive","test"
"1245018152213364737","2020-03-31 18:00:33","Desde @ADVADALCORCON hacemos un llamamiento para que colaboréis en lo que podáis con la campaña que han organizado desde @fpadalcorcon y colaboramos @AD_Alcorcon El gran Sevilla nos lo pide también #emergencia #quedateencasa #alcorcon #COVID19","Estado de alarma nacional (oficial)","ADVADALCORCON","100","2","2","positive","train"
"1245259430612086784","2020-04-01 09:59:18","Profesores de la Escuela Municipal de Música ""Dionisio Aguado"" nos regalan esta maravillosa versión de “Acércate más” para decirnos #QuédateEnCasa #FuenlaDesdeCasa. #EsteVirusLoParamosUnidos","Estado de alarma nacional (oficial)","CulturaFuenla","100","2","2","positive","test"
"1245332751328387072","2020-04-01 14:50:39","Y seguimos sumando. .....Las Peñas de Santander siguen animando... siguen siendo fieles a su espíritu, siempre alegre y solidario. Gracias a todos.... arriba esas Peñas.... arriba la “Peña Barrio Pesquero””. #YoMeQuedoEnCasa","Estado de alarma nacional (oficial)","LORGURFER","100","2","2","positive","train"
"1245548750556352512","2020-04-02 05:08:57","Mucho ánimo y paciencia, gracias por compartir tu situación #QuedateEnCasa","Estado de alarma nacional (oficial)","jochimet","100","2","2","positive","train"
"1245652263881732096","2020-04-02 12:00:17","Te agradezco @alfredgarcia el genial trabajo que hiciste en tu disco. Musicalmente me parece TOP y ya lo he recomendado varias veces pero me veo en la obligación de recomendar (una vez más) que te escuchen ¡y mucho! &lt;3 #Yomequedoencasa #CurrandoconAlfred #Melomanía","Estado de alarma nacional (oficial)","ana_diazdelrio","100","2","2","positive","train"
"1245817543798947841","2020-04-02 22:57:03","¡Buenas noches @igers_oviedo! Resistiremos mientras #YomeQuedoEnCasa imagen de @juanmaalcot desde #Oviedo ¡Ánimo a todos! ✨?✨??✨ #igerstierrina #igers_oviedo #igersspain #igers #nosvemosendigital","Estado de alarma nacional (oficial)","igers_oviedo","100","2","2","positive","train"
"1246769077294694400","2020-04-05 13:58:06","Sr. presidente @sanchezcastejon cuando estima usted que se terminará el estado de alarma? No es por nada pero tengo las patillas de curro Jiménez y el peinado del puma #YoMeQuedoEnCasa #TodoSaldraBien #graciasporcuidarnos #unpocodehumor","Estado de alarma nacional (oficial)","Francisbox","100","2","2","positive","train"
"1246841886360375302","2020-04-05 18:47:25","Recordamos el link al Drive de la Peña para poder ver los partidos/documentales que subamos para que esta cuarentena sea más divertida #CuarentenaPatatera #YoMeQuedoEnCasa #atletihastalamuerte","Estado de alarma nacional (oficial)","patletialavesa","100","2","2","positive","test"
"1246873740220207106","2020-04-05 20:54:00","Hola hola viajeros. Vamos a disfrutar lo que queda del domingo con buena #música. . #domingo #covid19 #yomequedoencasa #quedateencasa #gallegosviajeros #travel #5Abr #Covid_19 #COVID","Estado de alarma nacional (oficial)","Gallegosviajer3","100","2","2","positive","train"
"1246888145817403394","2020-04-05 21:51:14","#YoMeQuedoEnCasa y además soy útil. ?? Un ejército de máquinas de coser para luchar contra el coronavirus vía @el_pais","Estado de alarma nacional (oficial)","AmmariaB","100","2","2","positive","val"
"1246947398703775750","2020-04-06 01:46:41","fin del #dia23 #YoMeQuedoEnCasa sigue la rutina, todo OK y parece que los casos van remitiendo. Gracias a todos por hacer esto un poquito mejor y mucho animo si os flaquean las fuerzas, ya queda menos. Y a ti, un besazo enorme por estar tan cerca pese a la distancia","Estado de alarma nacional (oficial)","DrJekyllyMrYo","100","2","2","positive","train"
"1247283702486441987","2020-04-07 00:03:02","??gracias por recordarnos. A los niños trasplantados y a sus hermanitos que se cuidan mucho más por estar cerca de ellos. Me decía el chiquitín de la casa: mamá, mi cuerpo quiere salir. Pero #YoMeQuedoEnCasa ❤️ @SomosNupa @TransplantChild @eurordis @ONT_esp @_ANiNATH @hipatia65","Estado de alarma nacional (oficial)","sandrabeltranm","100","2","2","positive","train"
"1247463241707589634","2020-04-07 11:56:28","Gracias a todo el personal de enfermería y de salud por todo vuestro trabajo y esfuerzo estos días para salvar vidas!. #DiaMundialdelaSalud #YoMeQuedoEnCasa","Estado de alarma nacional (oficial)","Polibienestar","100","2","2","positive","val"
"1247462275692331008","2020-04-07 11:52:37","Cuando todo esto ocurre valoras lo verdaderamente importante... No veo el momento de volver a abrazaros #COVID19 #SiSePuede #YoMeQuedoEnCasa","Estado de alarma nacional (oficial)","sonia_crca","100","2","2","positive","val"
